NWS	USGS	
CDDA4	07359610	
CDOA4	07358501	
CIGA4	07075300	
CLRA4	07060500	
CNTA4	07260640	
CPCA4	07077555	
CRGA4	07064000	
CRKA4	07256500	
DANA4	07260500	
DARA4	07258000	
DBGA4	07077000	
DBSA4	07364130	
DEWA4	07076517	
DRDA4	07257995	
DTLA4	07263620	
DVRA4	07257006	
EFGA4	07074420	
EGPA4	07077380	
ENOA4	07261200	
FCDA4	07263605	
FCUA4	07263555	
FSXA4	07060710	
GAPA4	07355870	
GCAA4	07358550	
GCRA4	07358570	
GEOA4	07076750	
GFWA4	07076000	
GRVA4	07261500	
GUYA4	07261000	
HASA4	07055780	
HCAA4	07257693	
HDYA4	07069305	
HECA4	07257450	
HOLA4	07263000	
HRRA4	07056700	
HSEA4	07358257	
HSXA4	07358284	
HTVA4	07260673	
IMBA4	07069500	
JUDA4	07076634	
LADA4	07263706	
LANA4	07360200	
LETA4	07076530	
LITA4	07263500	
LMRA4	07257200	
LNDA4	07263640	
LONA4	07264000	
MAUA4	07263300	
MBCA4	07059450	
MBDA4	07077700	
MFIA4	07257460	
MJBA4	07055790	
MMLA4	072632966	
MMSA4	07069190	
MOCA4	07362500	
MOIA4	07356000	
MOLA4	07260660	
MORA4	07260800	
MSMA4	07069220	
NAGA4	07265283	
NOGA4	07078285	
NPTA4	07074500	
NUNA4	07355880	
OMBA4	07054410	
PBFA4	07263650	
PFAA4	07265280	
PKGA4	07074000	
POCA4	07069000	
PRCA4	072632968	
PTTA4	07077500	
QUTA4	07260990	
RCIA4	072632982	
RCKA4	07055875	
RDTA4	07359002	
REMA4	07260678	
RFMA4	07362587	
ROCA4	07263580	
RVSA4	07072000	
RYEA4	07363500	
SAFA4	07362579	
SCGA4	07075250	AR
SDTA4	07069295	
SFGA4	07075270	
SHCA4	07363400	
SHEA4	07363200	
SILA4	07056515	
SJOA4	07056000	
SRGA4	07075000	
STVA4	07257500	
SWNA4	07263750	
TODA4	07261260	
TUCA4	07074670	
VVRA4	07340300	
WARA4	07364000	
WCPA4	07358250	
WCTA4	07358253	
WLMA4	07263295	
WLTA4	07260000	
WNOA4	07362591	
WPGA4	07355860	
WRNA4	07057370	
WYEA4	07263296	
YCMA4	072632971	
YEGA4	07055608	
COTA4	07047942	
LCRA4	07040450	
RIGA4	07046600	
SFRA4	07040100	
DEQA4	07340500	
DIRA4	07341000	
DQNA4	07339500	
HRGA4	07340000	
INGA4	07337000	
LCKA4	07341200	
SBFA4	07344370	
SMKA4	07362100	
BARA4	07250550	
BRYA4	07050500	
CAVA4	07194880	
DMLA4	07196900	
DNRA4	07053207	
ELMA4	07195000	
FSAA4	07249455	
FYFA4	07048550	
FYGA4	07048600	
GSCA4	07191179	
GSEA4	07048780	
HDGA4	07049000	
HJFA4	07249400	
JKCA4	07250974	
JOCA4	07250935	
MLBA4	07252000	
MSVA4	07191160	
MTNA4	07250965	
OAKA4	07053250	
RDYA4	07251500	
SGCA4	07194906	
SLOA4	07195430	
SLSA4	07195400	
SPRA4	07195800	
SSCA4	07194933	
SVYA4	07194800	
VBRA4	07250085	
AFHA3	09512450	
AFMA3	09512500	
ASFA3	352500112423000	
BRMA3	345141111361900	
BRRA3	09398300	
BWAA3	09426000	
CCHA3	09404107	
CCMA3	09379200	
CHRA3	09497980	
CHWA3	09397500	
CRCA3	09404104	
CRTA3	342946111342645	
DBVA3	09505350	
DINA3	09401110	
DRSA3	09502900	
EVDA3	09507980	
EVPA3	09507580	
FCSA3	09507480	
FLAA3	350802111403400	
GCRA3	09502960	
GRCA3	09503000	
GRWA3	09503300	
GSLA3	340639111162945	
HAPA3	344433111242845	
HNSA3	09404115	
JCCA3	09399400	
JDCA3	350800112040000	
KCSA3	09403850	
LBZA3	09386300	
LCCA3	09402000	
LCJA3	09397300	
LCLA3	09384000	
LCMA3	09402300	
LCRA3	09383400	
LCSA3	09385700	
LCWA3	09400350	
LCZA3	09386030	
LHBA3	09397000	
LYMA3	09384600	
MOEA3	09401260	
MZCA3	343636111501400	
NCNA3	09383500	
OACA3	09504500	
OAKA3	09504420	
OVGA3	09497700	
PCSA3	09401265	
POLA3	09400568	
PUCA3	09396100	
SFLA3	09383409	
SLFA3	343616111310200	
SLLA3	09390500	
SMBA3	09424900	
SUPA3	09404110	
VCVA3	09506000	
VDCA3	09504000	
VDPA3	09503700	
VDTA3	09508500	
VEVA3	09508000	
WBVA3	09505200	
WCEA3	09383417	
WCLA3	09505800	
WDRA3	09394500	
WEBA3	342427111222800	
WKPA3	09424450	
WTBA3	09508300	
WVAA3	09502800	
AFRA3	09512800	
BKFA3	09490500	
BRTA3	09509502	
BWPA3	09426620	
CAVA3	09512280	
CBQA3	09497800	
CRZA3	09496500	
CSPA3	09517490	
CYDA3	09522860	
EPZA3	09519000	
EWFA3	09492400	
FCGA3	09475500	
GDTA3	09520280	
GGDA3	09519501	
GIDA3	09520500	
GILA3	09518500	
GPRA3	09519800	
GRGA3	09514100	
GRMA3	09479350	
HAMA3	09516500	
HAUA3	09498501	
HORA3	09509501	
HSTA3	09517000	
IDXA3	09512162	
NWRA3	09513780	
PCAA3	094985005	
PCMA3	09498502	
PCRA3	09498503	
PNLA3	09498400	
SCPA3	09513860	
SLCA3	09497500	
SLPA3	09512165	
SLRA3	09498500	
SLVA3	09489000	
SMDA3	09502000	
SYCA3	09510200	
TNRA3	09499000	
VDBA3	09510000	
VDSA3	09511300	
WHIA3	09478500	
WHTA3	09494000	
CDCA3	09404200	
CGCA3	09402501	
CLFA3	09380000	
PLFA3	09382000	
ARVA3	09473000	
ATPA3	09486800	
BABA3	09471400	
BCSA3	09484580	
BLCA3	09444200	
BNGA3	09470700	
BNMA3	09447800	
BPPA3	09489500	
BWTA3	09487000	
CDOA3	09486350	
CLDA3	09469000	
CNEA3	09484550	
CSCA3	09486500	
DUUA3	09439000	
ECMA3	09447000	
GCDA3	09469500	
GCFA3	09442000	
GFHA3	09470800	
GLCA3	09466500	
GLHA3	09448500	
GLKA3	09474000	
HUAA3	09471310	
LESA3	09537200	
NTCA3	09489082	
NWNA3	09481000	
PNTA3	09484600	
PWBA3	09485450	
RICA3	09486055	
RILA3	09485700	
RINA3	09485000	
RMSA3	09470750	
SAPA3	09471000	
SBCA3	09484000	
SCCA3	09482000	
SCNA3	09480500	
SCTA3	09486520	
SFCA3	09444500	
SNCA3	09468500	
SPLA3	09470920	
SPPA3	09470500	
SPRA3	09472050	
SPTA3	09471550	
STBA3	09481740	
TSCA3	09482500	
TVCA3	09484500	
UPBA3	09471380	
VAMA3	09535300	
WWDA3	09537500	
BCBA3	09424447	
BEAA3	09414900	
BHDA3	09421500	
DPSA3	09404208	
GCHA3	355852113484900	
MOHA3	09422500	
MSQA3	09415060	
SEMA3	09404222	
TMIA3	09423550	
TWVA3	09404343	
VLTA3	09415000	
VNLA3	09413700	
ARCC1	11481000	
BLKC1	11481500	
BRGC1	11478500	
BURC1	11527000	
CDLC1	11463000	
CREC1	11532500	
CXLC1	11461500	
DCYC1	11525854	
DOSC1	11473900	
ECBC1	11475560	
ETTC1	11468900	
FRNC1	11479560	
FTBC1	11468500	
FTDC1	11532650	
FTSC1	11475000	
GAAC1	11467553	
GRCC1	11467590	
GVCC1	11525630	
HOOC1	11530000	
HOPC1	11462500	
HYMC1	11528700	
ICDC1	11525670	
IRGC1	11516530	
KLMC1	11530500	
LEGC1	11475800	
LYVC1	11475610	
MAUC1	11480390	
MRNC1	11476500	
MTOC1	11469000	
NVRC1	11468000	
ONSC1	11523000	
ORIC1	11482500	
SCOC1	11477000	
TCCC1	11523200	
TERC1	11530500	
THAC1	11526500	
TLMC1	11462080	
TRDC1	11481200	
TRJC1	11526250	
TRNC1	11526400	
TRWC1	11525500	
UKAC1	11461000	
WEOC1	11476600	
COLC1	11253310	
CVDC1	11277300	
DKCC1	11200800	
FRFC1	11261500	
HPIC1	11264500	
LGCC1	11224500	
MBPC1	11206820	
NWMC1	11274000	
PNEC1	11255575	
POHC1	11266500	
SJDC1	11273400	
SJFC1	11251000	
SJMC1	11254000	
SJWC1	11224000	
SKRC1	11189500	
SSHC1	11261100	
SWUC1	11253130	
TGCC1	11274790	
TLRC1	11203580	
TVRC1	11204100	
ALIC1	11128300	
APDC1	11128250	
ASPC1	11098000	
ATDC1	11120000	
BRQC1	10263500	
CLLC1	11106550	
CPCC1	11119500	
CYBC1	11136800	
DGFC1	343120118533301	
ESRC1	11148500	
GARC1	11140000	
GBPC1	11122000	
GBTC1	11123000	
HCCC1	11125600	
HSAC1	11137900	
LKPC1	11109700	
LLYC1	11123500	
LMYC1	11119940	
LZCC1	11141280	
MNOC1	11119745	
MSEC1	11119750	
MTGC1	11114495	
NASC1	11149400	
NBYC1	11148900	
NRCC1	11136100	
NRWC1	11133000	
OCKC1	11141050	
PCPC1	11109600	
PFFC1	11109550	
PRBC1	11147500	
PSFC1	11109800	
PVCC1	11092450	
RHCC1	11102300	
RHGC1	11101250	
SCCC1	11124500	
SCPC1	11109000	
SCXC1	11136600	
SESC1	11113000	
SFHC1	11085000	
SISC1	11135800	
SJEC1	11120500	
SLUC1	11132500	
SPPC1	11113500	
SRQC1	11087020	
SSQC1	11138500	
SSWC1	11111500	
SUYC1	11140585	
SVGC1	11128500	
SYHC1	11134000	
SYYC1	11126000	
TJCC1	11097000	
VRVC1	11118500	
ZCCC1	11129800	
CNBC1	11348500	
FTJC1	11519500	
HAPC1	11521500	
PLYC1	11345500	
SBRC1	11522500	
SEIC1	11520500	
TAGC1	11517000	
YREC1	11517500	
ACBC1	11172955	
ACSC1	11174000	
ACZC1	11173510	
ADLC1	11176900	
AGCC1	11458500	
AHOC1	11173200	
ALFC1	11179100	
ALQC1	11174600	
APCC1	11458000	
AROC1	11159000	
ARRC1	11151870	
AUSC1	11467200	
AWEC1	11173575	
BRDC1	11150500	
BSCC1	11463200	
BSRC1	11143000	
BTEC1	11160500	
CAVC1	11173500	
CCFC1	11159200	
CDAC1	11463170	
CGNC1	11465700	
CHLC1	11152300	
CMEC1	11143250	
CMIC1	11172175	
CSRC1	11162750	
CTIC1	11465680	
CULC1	11180960	
CVCC1	11181008	
CVQC1	11173490	
DCLC1	11465240	
DGYC1	11465200	
DMBC1	373025122065901	
DRIC1	11465350	
DYUC1	11180500	
EASC1	11465690	
GEYC1	11463500	
GRFC1	11152050	
GSJC1	11169025	
GUEC1	11467002	
HEAC1	11464000	
HMNC1	11162630	
HMOC1	11162620	
HOSC1	11158600	
ICSC1	11173800	
IDRC1	11154700	
JIMC1	11463682	
KCRC1	11180900	
KCYC1	11151300	
KWDC1	11458433	
LLGC1	11153650	
LNTC1	11460600	
LRRC1	11161000	
LRZC1	11181000	
LSCC1	11180825	
LSEC1	11465750	
LVKC1	11176500	
LWDC1	11149900	
MEDC1	11162753	
MPTC1	11172945	
MWEC1	11466800	
MZSC1	11466170	
NILC1	11179000	
NRGC1	11169800	
NVCC1	11459500	
OLAC1	11166000	
PECC1	11162500	
PHOC1	11153000	
PIIC1	11156500	
PILC1	11162618	
PMAC1	11459150	
PUKC1	11180700	
RACC1	11182500	
RDRC1	11143200	
RDSC1	11152650	
RIOC1	11467000	
RMKC1	11463900	
ROHC1	11465660	
RRHC1	11463980	
SDDC1	11151700	
SFCC1	11164500	
SHEC1	11456000	
SLCC1	11181040	
SOGC1	11169500	
SOLC1	11152000	
SOQC1	11160000	
SPRC1	11152500	
SSAC1	11466200	
SXGC1	11162570	
TARC1	11466320	
TESC1	11157500	
WDSC1	11465390	
WKEC1	11460750	
YLEC1	11176400	
CIDC1	09429495	
CPDC1	09427520	
CPVC1	09429100	
IBCC1	10254970	
LGDC1	09429600	
LKHC1	09427500	
YMCC1	09521100	
ZANC1	10254730	
ZNRC1	10255550	
ZSCC1	10254050	
BBMC1	10308794	
BCAC1	10344500	
BCVC1	10344490	
BKDC1	10336660	
BPRC1	10292500	
CEMC1	10308200	
CLEC1	10296500	
DCHC1	10338700	
DCKC1	10338500	
DNRC1	10338400	
EWBC1	10293000	
FARC1	10346000	
GNRC1	10336645	
HFCC1	10265150	
ICRC1	10343000	
ILAC1	10342900	
LDDC1	10341950	
LITC1	10344400	
LVCC1	10308783	
LVIC1	10308789	
PROC1	10340500	
PSRC1	10340300	
SGNC1	10343500	
STPC1	10344300	
TBBC1	10344505	
THLC1	10337000	
TRCC1	10338000	
TRTC1	10337500	
TTVC1	10336780	
UTHC1	103366092	
UTRC1	10336610	
WDKC1	10336676	
WOOC1	10310000	
WWBC1	10296000	
ANRC1	10259000	
AQCC1	11048200	
ARYC1	11047300	
BKBC1	11088500	
BOKC1	11048600	
BPCC1	10255810	
CBCC1	11075720	
CCCC1	10257720	
CCMC1	11073495	
CHKC1	11073360	
CITC1	11055800	
CJKC1	11063510	
CPNC1	11020600	
CPOC1	11012500	
CRIC1	11046360	
DCCC1	11063680	
DEHC1	11016200	
DEPC1	10259200	
DKHC1	10260500	
DLZC1	11044800	
ETCC1	11058500	
FABC1	11045300	
FACC1	10257500	
FFPC1	340526116561301	
FKKC1	11089500	
FSNC1	11023000	
GLPC1	341429116583101	
GRTC1	11042900	
GSPC1	340742117161701	
GTOC1	11027000	
GVVC1	10260855	
HGHC1	11058000	
IOCC1	11073300	
JACC1	11070365	
JMLC1	11014000	
LCCC1	11022200	
LCFC1	11062000	
LCOC1	11046100	
MFLC1	341509117312601	
MSYC1	10257600	
MUCC1	11042700	
MUTC1	11043000	
MVVC1	10261500	
MWXC1	11066460	
NCKC1	10256500	
NMTC1	11046300	
ONAC1	11071900	
ONEC1	11045600	
OSPC1	11045700	
PCNC1	10258500	
PDDC1	11074000	
PGKC1	11055500	
PHGC1	11042631	
PMYC1	10259050	
PNQC1	11023340	
PRIC1	11070270	
RNKC1	11044250	
SDGC1	11022480	
SDQC1	11044350	
SJIC1	11069500	
SJKC1	11070150	
SJPC1	11046530	CA
SJTC1	11070210	
SJVC1	11070500	
SKAC1	11077500	
SKEC1	11070465	
SLOC1	11042000	
SMFC1	11044300	
SMHC1	11044000	
SMJC1	11075800	
SMKC1	11028500	
SRDC1	11051502	
SREC1	11059300	
SRVC1	11078000	
SRWC1	11051499	
SWCC1	11015000	
SYBC1	11025500	
TEKC1	11042400	
TIMC1	11057500	
TQUC1	10258000	
TSLC1	11072100	
VCTC1	11022100	
VLKC1	11042510	
WERC1	11058600	
WFMC1	10260950	
WHWC1	10259540	
WIPC1	10257548	
WRMC1	11060400	
WRSC1	11042800	
WTIC1	10259300	
WWIC1	10259100	
WWUC1	10255895	
YDRC1	11046000	
YTLC1	11065000	
AASC1	11453155	
ACWC1	11447360	
AFOC1	11446500	
AWBC1	11446980	
BCCC1	11299600	
BCWC1	11284400	
BDBC1	11377100	
BESC1	11292800	
BKCC1	11390000	
BLTC1	391056122420801	
BMHC1	385022122423601	
BRWC1	11424000	
BYMC1	384550122405101	
CEIC1	11278300	
CHVC1	11277200	
CIBC1	11452600	
CKKC1	11451300	
CKMC1	11278400	
CLFC1	11451000	
CLKC1	11450000	
CLUC1	11389500	
CMKC1	11307550	
COTC1	11376550	
CRDC1	11274550	
CWAC1	11376000	
CWCC1	11374000	
DCSC1	11418500	
DCVC1	11383500	
DCWC1	11424500	
DLGC1	382036120370601	
DLLC1	11292600	
DLTC1	11342000	
EDCC1	11379500	
EHHC1	11278000	
EIMC1	11276900	
FLNC1	11336580	
GWKC1	11302000	
GYRC1	11413000	
HCHC1	11451715	
HEHC1	11276500	
HETC1	11275500	
HOUC1	11451100	
INVC1	11451290	
KCHC1	11449430	
KCVC1	11449500	
LCWC1	11336585	
LEDC1	11277100	
LNGC1	11289650	
LNRC1	11277500	
MDSC1	11290000	
MECC1	11289000	
MHBC1	11335000	
MLMC1	11381500	
MRYC1	11421000	
MYSC1	11308500	
NDPC1	11287500	
NFAC1	11433790	
NFDC1	11427000	
OKDC1	11302500	
OREC1	11274500	
ORSC1	11274538	
